YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
2.0,2.0,MM,MM,MM,MM,1024.8,13.4,11.1,11.1,MM,MM,MM
2.0,2.0,MM,MM,MM,MM,1024.9,14.5,11.0,11.7,MM,MM,MM
1.0,1.0,0.3,6,3.8,255,1024.8,14.9,10.9,11.8,MM,MM,MM
0.0,1.0,0.3,MM,3.8,255,1024.9,14.7,10.9,11.9,MM,MM,MM
0.0,1.0,MM,MM,MM,MM,1024.9,14.4,10.9,11.9,MM,+0.0,MM
1.0,1.0,0.4,7,4.0,239,1024.8,13.8,10.8,11.6,MM,MM,MM
1.0,2.0,0.4,MM,4.0,239,1024.9,13.4,11.2,11.3,MM,MM,MM
2.0,3.0,MM,MM,MM,MM,1025.0,13.3,11.0,11.2,MM,MM,MM
2.0,3.0,0.4,6,4.0,250,1024.8,13.1,11.1,11.0,MM,MM,MM
2.0,3.0,0.4,MM,4.0,250,1024.9,13.1,11.0,11.0,MM,MM,MM
2.0,2.0,MM,MM,MM,MM,1024.9,13.0,10.9,11.0,MM,+0.7,MM
2.0,2.0,0.4,7,4.0,255,1024.9,13.0,11.1,11.0,MM,MM,MM
2.0,2.0,MM,MM,MM,MM,1024.9,13.1,11.0,11.1,MM,MM,MM
2.0,2.0,MM,MM,MM,MM,1024.9,13.0,11.1,11.0,MM,MM,MM
2.0,2.0,0.4,7,4.1,266,1024.9,13.1,11.0,11.1,MM,MM,MM
1.0,2.0,0.4,MM,4.1,266,1024.9,13.0,10.9,11.0,MM,MM,MM
1.0,2.0,MM,MM,MM,MM,1024.9,12.9,11.3,11.0,MM,+0.6,MM
2.0,3.0,0.4,7,4.2,250,1024.8,12.7,11.7,10.8,MM,MM,MM
2.0,3.0,MM,MM,MM,MM,1024.8,12.6,12.0,10.8,MM,MM,MM
2.0,2.0,MM,MM,MM,MM,1024.8,12.4,11.6,10.7,MM,MM,MM
2.0,2.0,0.4,7,3.9,270,1024.9,12.3,11.7,10.6,MM,MM,MM
2.0,3.0,0.4,MM,3.9,270,1024.9,12.2,10.7,10.7,MM,MM,MM
2.0,3.0,MM,MM,MM,MM,1024.9,12.0,10.8,10.5,MM,+0.8,MM
3.0,4.0,0.3,4,3.9,245,1024.9,12.0,10.7,10.6,MM,MM,MM
3.0,4.0,0.3,MM,3.9,245,1024.7,11.9,10.8,10.5,MM,MM,MM
3.0,4.0,MM,MM,MM,MM,1024.6,11.9,10.9,10.6,MM,MM,MM
3.0,4.0,0.3,4,3.5,235,1024.5,11.8,10.9,10.6,MM,MM,MM
3.0,4.0,0.3,MM,3.5,235,1024.5,11.8,10.7,10.7,MM,MM,MM
3.0,4.0,MM,MM,MM,MM,1024.3,11.7,10.8,10.6,MM,+0.9,MM
4.0,4.0,0.3,5,3.9,227,1024.3,11.7,10.8,10.6,MM,MM,MM
4.0,4.0,MM,MM,MM,MM,1024.3,11.7,10.7,10.6,MM,MM,MM
3.0,4.0,MM,MM,MM,MM,1024.3,11.7,10.7,10.6,MM,MM,MM
3.0,4.0,0.3,5,3.9,242,1024.4,11.7,10.8,10.6,MM,MM,MM
3.0,4.0,0.3,MM,3.9,242,1024.3,11.8,10.8,10.7,MM,MM,MM
3.0,4.0,MM,MM,MM,MM,1024.3,11.8,10.7,10.6,MM,+1.4,MM
3.0,4.0,0.3,5,3.7,258,1024.3,11.8,10.7,10.6,MM,MM,MM
4.0,5.0,MM,MM,MM,MM,1024.3,11.8,10.8,10.6,MM,MM,MM
4.0,5.0,MM,MM,MM,MM,1024.3,11.9,10.8,10.6,MM,MM,MM
